0.245	0.041	0.039	0.045
0.269	0.04	0.044	0.046
0.289	0.042	0.044	0.046
0.314	0.043	0.048	0.046
0.3	0.043	0.047	0.045
0.313	0.042	0.048	0.045
0.312	0.043	0.048	0.046
0.314	0.043	0.049	0.046
0.319	0.044	0.051	0.045
0.323	0.043	0.052	0.045
0.326	0.044	0.054	0.045
0.328	0.044	0.055	0.045
0.334	0.045	0.056	0.045
0.338	0.046	0.057	0.045
0.344	0.047	0.059	0.045
0.349	0.047	0.061	0.044
0.358	0.049	0.063	0.044
0.362	0.051	0.063	0.045
0.372	0.052	0.065	0.045
0.38	0.054	0.067	0.045
0.389	0.054	0.069	0.044
0.391	0.057	0.071	0.044
0.408	0.054	0.072	0.044
0.417	0.058	0.074	0.044
0.424	0.058	0.075	0.044
0.427	0.059	0.077	0.043
0.442	0.054	0.077	0.043
0.448	0.056	0.079	0.043
0.458	0.054	0.08	0.043
0.462	0.055	0.082	0.043
0.464	0.055	0.084	0.043
0.475	0.053	0.085	0.043
0.477	0.053	0.087	0.043
0.485	0.052	0.088	0.042
0.491	0.053	0.089	0.043
0.489	0.051	0.09	0.042
0.508	0.05	0.092	0.044
0.503	0.052	0.094	0.043
0.513	0.05	0.093	0.043
0.526	0.048	0.098	0.043
0.511	0.052	0.097	0.041
0.527	0.048	0.098	0.043
0.538	0.05	0.099	0.042
0.53	0.049	0.102	0.043
0.545	0.048	0.101	0.043
0.551	0.049	0.103	0.043
0.549	0.048	0.103	0.043
0.556	0.051	0.107	0.043
0.57	0.047	0.106	0.043
0.556	0.047	0.11	0.043
